"";"code_qp";"nom_qp";"nom_commune";"ind_jeune";"tx_tot_et";"tx_f";"tx_f_et";"percou";"pmimp";"decuc_q2";"decuc_d1";"decuc_d9";"disp_q2";"disp_d1";"disp_d9";"tp60";"brev";"a";"tx_tot_empl";"tx_f_empl";"tx_et_empl";"tx_tot_eprec";"tx_f_eprec";"abcde";"abcde_f";"abcde_h";"abc_capbep";"abc_bac";"abc_supbac";"ec_mat";"ec_elem";"ec_elem_pri";"coll";"coll_pri";"nbetab";"ens_sante";"serv_par";"serv_tot";"auto_ent";"cluster"
"1";"QP009001";"Coeur De Ville";"Saint-Girons";0,7;11;53,5;9,1;0,587935429056924;25,8;10788;0;26094;13724;7575;25555;40,2;55,6;0,394222599830076;50,7;51,2;50;23,9;24;0,216652506372133;0,0951571792693288;0,121495327102804;0,0815632965165675;0,0365335598980459;0,0577740016992353;0,000849617672047579;0,00254885301614274;0,000849617672047579;0,000849617672047579;0,000849617672047579;0,257434154630416;0,0467289719626168;0,0832625318606627;0,122344944774851;0,00594732370433305;1
"2";"QP009002";"Centre Ancien";"Foix";0,7;9,4;54,6;8,6;0,730582524271845;26;11907;0;28326;13799;7426;26276;40,4;51,5;0,558252427184466;44;42,7;38;28,8;24,4;0,254854368932039;0,108414239482201;0,146440129449838;0,0898058252427184;0,0485436893203883;0,0703883495145631;0,000809061488673139;0;0;0;0;0,300970873786408;0,0396440129449838;0,0671521035598705;0,151294498381877;0,00566343042071197;1
"3";"QP009003";"Centre Ancien - La Gloriette";"Pamiers";1;11,8;53,4;9,9;0,66231647634584;26,3;9978;0;24250;13543;7183;23382;42;58,1;0,368678629690049;42,3;36,3;35;27,4;25,9;0,193661151246796;0,0960149149382428;0,0976462363085528;0,0717781402936378;0,0407830342577488;0,0279655092053134;0,000466091820088557;0,00116522955022139;0,000466091820088557;0,000699137730132836;0,000466091820088557;0,0883243999067816;0,0153810300629224;0,0249359123747378;0,0475413656490329;0,00116522955022139;2
"4";"QP011001";"Quartier Aude";"Limoux";0,8;13,1;51;11,5;0,573658536585366;25;10408;2;25648;13626;7893;24986;41;58,2;0,362439024390244;43,1;38,4;33,1;27;29,3;0,16;0,0853658536585366;0,0746341463414634;0,0570731707317073;0,0282926829268293;0,0273170731707317;0,000975609756097561;0,000975609756097561;0,00048780487804878;0,00048780487804878;0,00048780487804878;0,164878048780488;0,0375609756097561;0,0536585365853659;0,0902439024390244;0,00390243902439024;1
"5";"QP011002";"La Conte - Ozanam";"Carcassonne";2;24,9;53,5;22,6;0,956796116504854;16,1;5600;0;19378;10976;7022;19469;61,2;78,4;0,368446601941748;30,9;29,2;16,3;24,4;22,2;0,226699029126214;0,107766990291262;0,118932038834951;0,0703883495145631;0,0441747572815534;0,0223300970873786;0,000485436893203883;0,000485436893203883;0;0,000485436893203883;0;0,0281553398058252;0,00339805825242718;0,00339805825242718;0,00728155339805825;0;3
"6";"QP011003";"Le Viguier - Saint-Jacques";"Carcassonne";1,6;38,3;52,4;36,5;0,758861439312567;NA;4868;0;16060;10624;6648;17739;65,1;80,4;0,350698174006445;24,2;20,6;18,9;31,3;38;0,177228786251343;0,0757250268528464;0,101503759398496;0,0445757250268528;0,0257787325456498;0,023093447905478;0,00107411385606874;0,00107411385606874;0;0,000537056928034372;0;0,0225563909774436;0,00107411385606874;0,00214822771213749;0,00537056928034372;0;3
"7";"QP011004";"Bastide Pont-Vieux";"Carcassonne";1,1;10,6;52,3;NA;0,800264900662252;28,1;10820;0;30260;13656;7228;28632;40,1;55,6;0,506490066225166;40,2;40,1;30;27,9;24;0,205827814569536;0,0980132450331126;0,107814569536424;0,0701986754966887;0,0405298013245033;0,0394701986754967;0,000794701986754967;0,00105960264900662;0,000529801324503311;0,00105960264900662;0,000264900662251656;0,237615894039735;0,0301986754966887;0,055364238410596;0,112582781456954;0,00450331125827815;1
"8";"QP011005";"Fleming La Reille";"Carcassonne";1,2;22,9;57,8;21,6;0,638095238095238;NA;7190;0;23048;11998;7336;22755;52,2;68;0,257142857142857;29,3;23,6;15,8;NA;NA;0;0;0;0;0;0;0;0,000952380952380952;0;0;0;0,0228571428571429;0,00571428571428571;0,00666666666666667;0,00952380952380952;0,00380952380952381;4
"9";"QP011006";"Grazailles";"Carcassonne";2,1;NA;56,1;NA;0,74169741697417;NA;7724;0;22826;12442;7676;23561;49;69,7;0,340405904059041;37,1;31,1;NA;28,7;39,2;0,195571955719557;0,105166051660517;0,0904059040590406;0,0710332103321033;0,0415129151291513;0,0285977859778598;0,000922509225092251;0,000922509225092251;0;0,000922509225092251;0;0;0;0;0;0;3
"10";"QP011007";"Narbonne Ouest";"Narbonne";1,5;17,9;52,2;16,4;0,635326221781196;18,9;7308;0;20524;11886;7391;20767;53,1;70,1;0,281071694368643;33,4;25,5;28,8;22,2;21,9;0,151823368891094;0,0764078392458447;0,0754155296452493;0,0540808732324485;0,0277846688166708;0,0178615728107169;0,000992309600595386;0,000496154800297693;0;0,000248077400148846;0;0,0233192756139916;0,0037211610022327;0,00520962540312578;0,00942694120565617;0,000744232200446539;3
"11";"QP011008";"Narbonne Centre";"Narbonne";1,2;10;54,6;9,2;0,86397768719159;24,4;9706;0;26820;13297;7229;25490;42,4;57,7;0,541085603947651;42;40,2;43,8;32,5;32,9;0,246299077451191;0,11564042051062;0,130658656940571;0,0845312164771508;0,0540656511478224;0,0480583565758421;0,000429092469427162;0,0010727311735679;0,000429092469427162;0,000858184938854323;0,000214546234713581;0,159836944861618;0,0115854966745334;0,0319673889723235;0,0620038618322248;0,00622184080669384;1
"12";"QP011009";"Narbonne Est";"Narbonne";1,6;NA;52,1;NA;0,799054373522459;15,8;7424;0;18960;11673;7218;19741;54,7;72,8;0,374704491725768;35,1;28,3;NA;19,3;NA;0,192080378250591;0,0939716312056738;0,0981087470449173;0,074468085106383;0,0336879432624113;0,024822695035461;0,000591016548463357;0,00118203309692671;0;0,000591016548463357;0;0,0141843971631206;0,00177304964539007;0,00295508274231678;0,00531914893617021;0;3
"13";"QP011010";"Centre Ville";"Lézignan-Corbières";0,9;7,1;52,5;7;0,641830938857334;25,5;9930;0;25652;13238;7621;25269;43,9;58,1;0,295021717340461;38,6;33,6;37,4;26,7;20,9;0,103575008352823;0,0431005679919813;0,060474440360842;0,0354159705980621;0,0217173404610758;0,0123621784163047;0,000668225860340795;0,00100233879051119;0,000334112930170398;0,000668225860340795;0,000334112930170398;0,114934847978617;0,0177079852990311;0,031072502505847;0,0551286334781156;0,00200467758102239;4
"14";"QP012001";"Quatre Saisons";"Onet-le-Château";2,2;30,2;50,3;29,5;0,712337662337662;19,9;9760;1312;20436;12902;7164;20908;44,9;61,5;0,277922077922078;44,4;37;47,3;27,9;27,7;0,153896103896104;0,0779220779220779;0,075974025974026;0,0532467532467532;0,0253246753246753;0,0266233766233766;0,000649350649350649;0,0012987012987013;0,000649350649350649;0,000649350649350649;0;0,0116883116883117;0,0025974025974026;0,00324675324675325;0,0038961038961039;0,00454545454545455;2
"15";"QP012002";"La Bastide";"Villefranche-de-Rouergue";1,5;19,5;49,8;17,2;0,650406504065041;20,9;8700;0;22018;12290;7329;21280;50,2;67,1;0,356288857006217;43,3;40,1;41,4;29,7;28,6;0,175992348158776;0,0827355332376853;0,0932568149210904;0,0736489717838355;0,0277379244380679;0,021999043519847;0,000956480153036825;0,00191296030607365;0,000956480153036825;0,000956480153036825;0,000478240076518412;0,134863701578192;0,0133907221425155;0,0315638450502152;0,0549976087996174;0,00286944045911047;1
"16";"QP030001";"Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville";"Alès";0,7;11,1;56,6;10,4;0,697968675193215;21,7;9012;0;22264;12827;7565;22076;46,6;62,5;0,385336160317352;36,6;35,6;27,7;24,2;25,1;0,19930237329868;0,0945215785513987;0,104780794747281;0,080158675877163;0,0370015730798167;0,024827303194036;0,000341973873196088;0,000820737295670611;0,00027357909855687;0,000410368647835305;0,000205184323917653;0,0950687367485124;0,00957526844949046;0,0198344846453731;0,0402161274878599;0,00376171260515697;2
"17";"QP030002";"Centre Ville";"Anduze";0,8;7,5;55,2;7,7;0,604938271604938;24,2;10082;0;24100;13317;7860;23524;42,7;59,5;0,374779541446208;39,7;38,5;31,6;22,4;26,7;0,206349206349206;0,110229276895944;0,0961199294532628;0,0679012345679012;0,0467372134038801;0,0379188712522046;0,000881834215167548;0,000881834215167548;0;0,000881834215167548;0;0,137566137566138;0,0149911816578483;0,0194003527336861;0,0335097001763668;0,00529100529100529;2
"18";"QP030003";"Pissevin - Valdegour";"Nîmes";2,8;26,8;51,2;26,7;0,822209399243444;10,3;4692;0;14472;10408;6541;16847;69,1;85,7;0,296467269346669;21,5;14,2;18,7;30,7;30,3;0,165224081554145;0,0609732640892479;0,104250817464897;0,0458421491312432;0,0310316086426877;0,019298583060845;0,000448804257228954;0,000384689363339104;0;0,000128229787779701;0;0,041610566134513;0,00724498300955312;0,00865551067512983;0,0187856639097262;0,00205167660447522;3
"19";"QP030004";"Gambetta-Richelieu";"Nîmes";1,2;11,8;51,6;9,3;0,71364033809385;23,6;9586;0;25954;13091;6740;25121;43,7;59,8;0,457301078402798;39,6;39,6;38,1;18,6;20,5;0,189886330515885;0,0811716700670359;0,108714660448849;0,0604779947537161;0,0374526377149519;0,0396385893325561;0,000582920431361119;0,000874380647041679;0,00029146021568056;0,000437190323520839;0,00014573010784028;0,0746138152142233;0,00932672690177791;0,0176333430486739;0,0339551151267852;0,00393471291168755;2
"20";"QP030005";"Chemin-Bas D'Avignon - Clos D'Orville";"Nîmes";1,4;24,8;52,2;24,4;0,757846916299559;13,6;5948;0;17580;11095;7014;18661;60;78,4;0,325853524229075;26,7;22,1;21,9;28,3;25,7;0,179240088105727;0,0754405286343612;0,103799559471366;0,0569933920704846;0,0337279735682819;0,0221640969162996;0,000688325991189427;0,000412995594713656;0;0,000137665198237885;0;0,026431718061674;0,00440528634361234;0,00674559471365639;0,00977422907488987;0,0019273127753304;3
"21";"QP030006";"Mas De Mingue";"Nîmes";2,4;17,8;51,7;16,7;0,829130723291307;12,3;6442;0;17382;11588;6586;18952;55,9;77,8;0,324153948241539;33,1;27,3;22,3;30,6;36,1;0,185799601857996;0,075315195753152;0,110484406104844;0,0683477106834771;0,0345056403450564;0,0232249502322495;0,0006635700066357;0,00033178500331785;0;0,00033178500331785;0;0,0159256801592568;0,0019907100199071;0,00232249502322495;0,0039814200398142;0,0033178500331785;3
"22";"QP030007";"Route De Beaucaire";"Nîmes";1,3;NA;56;NA;0,674216027874564;26,9;11167;360;23721;13808;8340;23166;39,1;55,4;0,335656213704994;56,6;53;51,1;17,9;NA;0,173054587688734;0,099883855981417;0,0731707317073171;0,0557491289198606;0,0394889663182346;0,0278745644599303;0,000580720092915215;0;0;0,000580720092915215;0,000580720092915215;0,0336817653890825;0,00464576074332172;0,00871080139372822;0,016260162601626;0,00638792102206736;2
"23";"QP030008";"Némausus-Jonquilles - Haute Magaille - Oliviers";"Nîmes";2,7;21,6;47,5;19,8;0,755186721991701;23,7;7774;140;20794;12070;7030;20655;51,3;67,9;0,267338470657973;42,4;34,2;32;26;31,6;0,169235328986366;0,0755779490219324;0,0936573799644339;0,0483106105512745;0,031416716064019;0,0293420272673385;0,000889152341434499;0,000592768227622999;0;0,0002963841138115;0;0,0234143449911085;0,000889152341434499;0,003556609365738;0,0103734439834025;0,002963841138115;3
"24";"QP030009";"Sabatot - Centre Ancien";"Saint-Gilles";1,2;29,2;48,3;27,5;0,551344743276284;14,3;7504;1054;19272;11349;6193;19803;57;70,1;0,231662591687042;35,9;27,6;27,4;30,2;28;0,248777506112469;0,0993276283618582;0,149449877750611;0,0660146699266504;0,0317848410757946;0,0247555012224939;0,000916870415647922;0,000916870415647922;0;0;0;0,051039119804401;0,00855745721271394;0,0149755501222494;0,023838630806846;0,00213936430317848;3
"25";"QP030010";"Escanaux - Coronelle - Citadelle - Vigan Braquet";"Bagnols-sur-Cèze";1,4;23,9;52,6;23,6;0,635796305541687;16,5;7196;262;18922;11694;7086;19617;54,8;74;0,291313030454319;31,1;25,3;27,8;33;29,4;0,143285072391413;0,0536694957563655;0,0896155766350474;0,0506739890164753;0,0237144283574638;0,0169745381927109;0,000499251123315027;0,000748876684972541;0,000249625561657514;0,000499251123315027;0;0,0172241637543684;0,00199700449326011;0,00574138791812282;0,00748876684972541;0,00224663005491762;3
"26";"QP030011";"Centre Ville";"Pont-Saint-Esprit";1,4;15;48,9;11,2;0,753141167775314;28;10404;0;26084;13435;7066;24625;42,7;55,8;0,379157427937916;47,5;43,8;31,9;28,5;34,9;0,195121951219512;0,0938654841093866;0,101256467110126;0,0716925351071692;0,0384331116038433;0,0199556541019956;0,00147819660014782;0,00147819660014782;0,00073909830007391;0,00147819660014782;0,00073909830007391;0,104951958610495;0,0206947524020695;0,0310421286031042;0,0480413895048041;0;1
"27";"QP030012";"La Moulinelle";"Beaucaire";1,5;17,4;52,4;17,7;0;19,8;8816;1488;20100;12518;8116;20432;48,5;66,9;0;39,8;28;NA;22,1;28,9;0,157135497166409;0,0705821741370428;0,0865533230293663;0,0494590417310665;0,0267903142709943;0,0139103554868624;0,000515198351365276;0,000515198351365276;0;0,000515198351365276;0;0,0144255538382277;0;0,000515198351365276;0,00463678516228748;0;4
"28";"QP030013";"Centre Ville";"Beaucaire";1,5;24,6;51,1;21,8;0,72267946959305;22,8;9446;742;22784;12754;6960;22426;46,9;61,7;0,339963420210334;41,8;35,8;34,2;25,5;25,8;0,381572930955647;0,174439871970736;0,207133058984911;0,0941929583904893;0,0688157293095565;0,0301783264746228;0,000457247370827618;0,000685871056241427;0;0,000457247370827618;0,000228623685413809;0,0864197530864197;0,0173754000914495;0,0235482395976223;0,0413808870598994;0,0025148605395519;2
