"";"code_qp";"cluster";"dynamique_prix";"dynamique_vente";"nb_biens_tot"
"1";"QP009001";1;-0,0689659896145954;-0,484848484848485;121
"2";"QP009002";1;-0,0946868913719389;-0,265625;299
"3";"QP009003";2;0,196474431305801;-0,177570093457944;583
"4";"QP011001";1;0,214639758995566;-0,383333333333333;281
"5";"QP011002";3;-0,0530278616065522;-0,133333333333333;67
"6";"QP011003";3;-0,0980772297044467;1;26
"7";"QP011004";1;0,00899239263532325;-0,116161616161616;863
"8";"QP011007";3;0,0545636487375434;-0,032258064516129;140
"9";"QP011008";1;0,0634031174269072;-0,142857142857143;1075
"10";"QP011009";3;0,355941876685489;1,75;36
"11";"QP011010";4;-0,0154269552276133;-0,34375;283
"12";"QP012002";1;-0,559964156454253;-0,96551724137931;151
"13";"QP030001";2;-0,0511453173623311;0,251282051282051;936
"14";"QP030002";2;-0,034519453162367;0,161290322580645;126
"15";"QP030003";3;0,0783235543261829;-0,00952380952380949;521
"16";"QP030004";2;-0,0273972058719713;-0,267123287671233;1352
"17";"QP030005";3;0,293262991760125;0,310344827586207;157
"18";"QP030006";3;-0,0828824282978501;-0,5;29
"19";"QP030007";2;0,332059454978007;0,666666666666667;107
"20";"QP030008";3;0,0514166029550167;-0,0666666666666667;218
"21";"QP030009";3;0,177541374713263;0,261904761904762;271
"22";"QP030010";3;0,0918620429951702;-0,133333333333333;49
"23";"QP030011";1;0,102968190150057;0,821428571428571;178
"24";"QP030012";4;0,0293709031686387;1;29
"25";"QP030013";2;0,0825338965449054;0,0909090909090908;606
"26";"QP030014";1;-0,243124391584279;0;157
"27";"QP030015";3;-0,16953823254943;-0,428571428571429;24
"28";"QP030016";2;0,298628545756411;0,0384615384615385;213
"29";"QP030017";4;0,699092960389569;0,3;52
"30";"QP030018";2;-0,0661667874725176;0,666666666666667;84
"31";"QP031001";2;-0,0763285908482049;-0,416666666666667;66
"32";"QP031002";1;-0,196934563641845;-0,0370370370370371;167
"33";"QP031003";1;0,0851892785357331;-0,360655737704918;241
"34";"QP031004";2;-0,398295352959015;-0,333333333333333;22
"35";"QP031005";2;0,379935390144366;-0,517241379310345;115
"36";"QP031006";2;0,176623929985988;-0,466666666666667;123
"37";"QP031007";2;0,249819799359607;-0,704433497536946;1005
"38";"QP031008";2;0,0142209909052486;-0,880952380952381;140
"39";"QP031010";2;0,381511651918947;-0,681159420289855;249
"40";"QP031011";2;0,254442481907068;-0,675675675675676;125
"41";"QP031012";2;-0,200779893611038;-0,333333333333333;30
"42";"QP031013";2;0,0275188335013195;-0,142857142857143;53
"43";"QP031014";2;-0,0986440265708931;-0,166666666666667;75
"44";"QP031015";4;0,0524893330215519;-0,9;83
"45";"QP031019";2;0,229553529430512;-0,285714285714286;50
"46";"QP034001";3;0,19931105191412;-0,425165562913907;3440
"47";"QP034002";3;-0,0142196161853031;-0,2;26
"48";"QP034003";3;0,265810756542709;-0,75;57
"49";"QP034004";2;0,312689506048765;-0,482758620689655;79
"50";"QP034005";3;0,150599848660039;-0,486486486486487;125
"51";"QP034006";3;0,272116651570715;-0,692307692307692;96
"52";"QP034008";2;0,113829650862352;-0,775280898876405;217
"53";"QP034010";1;0,350788249441117;-0,785714285714286;190
"54";"QP034012";2;0,401046491043705;-0,513513513513513;108
"55";"QP034015";3;0,363156859373875;-0,3;42
