"";"code_departement";"code_commune";"code_qp";"nom_qp";"nb_biens_tot";"prix_m2_tot";"nb_biens_2016";"nb_biens_2017";"nb_biens_2018";"nb_biens_2019";"nb_biens_2020";"prix_m2_2016";"prix_m2_2017";"prix_m2_2018";"prix_m2_2019";"prix_m2_2020"
"1";9;9122;"QP009002";"Centre Ancien";299;1068,07193722195;36;62;64;90;47;1014,9377363662;1082,19768727312;1199,89963312958;978,343475167292;1086,28486691021
"2";9;9225;"QP009003";"Centre Ancien - La Gloriette";583;968,237311843299;103;147;107;138;88;960,422876444164;970,739199555439;886,932637345749;977,894610692757;1061,19222287481
"3";9;9261;"QP009001";"Coeur De Ville";121;922,47974261018;21;31;33;19;17;850,933088471232;683,231744990848;1087,16938851267;986,790418053938;1012,1916757552
"4";11;11069;"QP011002";"La Conte - Ozanam";67;1349,91718461669;16;8;15;15;13;1530,77020543715;1432,48050677983;1257,36236542181;1343,52772558746;1190,68712791893
"5";11;11069;"QP011003";"Le Viguier - Saint-Jacques";26;1197,36226106925;6;5;3;6;6;1306,87470194945;1144,3840413318;1160,10292973304;1292,83731187189;1046,32324821281
"6";11;11069;"QP011004";"Bastide Pont-Vieux";863;958,262372501907;109;186;198;195;175;891,511830765329;918,01139678607;965,48329528459;1015,85937002888;974,165300158635
"7";11;11069;"QP011005";"Fleming La Reille";17;1337,57768019555;1;3;5;4;4;1743,90243902439;1158,90338438268;1364,73181582736;1248,71794871795;1424,91927428582
"8";11;11069;"QP011006";"Grazailles";9;1314,38558322356;2;2;1;0;4;1256,85524974516;1186,22997848434;1315,06849315068;NA;1407,05782485059
"9";11;11203;"QP011010";"Centre Ville";283;973,441487328534;55;50;64;72;42;828,34771234558;1055,44214209457;1056,95013622326;882,278661807399;1040,64461379392
"10";11;11206;"QP011001";"Quartier Aude";281;989,391244531625;61;33;60;90;37;865,403714864267;994,76697345825;985,88499556581;972,959520078663;1197,4951134114
"11";11;11262;"QP011007";"Narbonne Ouest";140;1300,75467581873;14;30;31;35;30;1090,19459849207;1117,58989963854;1370,4931728346;1370,64435827105;1445,27228091434
"12";11;11262;"QP011008";"Narbonne Centre";1075;1556,68297132492;213;205;231;228;198;1872,32907871789;1669,69664995297;1354,9169354501;1438,47403491744;1440,82289301215
"13";11;11262;"QP011009";"Narbonne Est";36;1340,49691532056;6;7;4;8;11;1105,70405087804;1214,61561167016;912,360092671837;1957,11948210233;1237,1072562704
"14";12;12176;"QP012001";"Quatre Saisons";8;1254,69611938721;2;3;1;2;0;918,560606060606;1266,62925551814;1179,48717948718;1610,53639846743;NA
"15";12;12300;"QP012002";"La Bastide";151;788,379579954561;37;30;29;54;1;807,443437702797;860,941235310698;838,88762793848;688,816979107676;369,140625
"16";30;30007;"QP030001";"Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville";936;1176,83376696957;142;140;195;215;244;1105,6574957438;1132,15197339981;1233,46827119235;1204,66032052427;1170,38214500586
"17";30;30010;"QP030002";"Centre Ville";126;1328,06210068422;15;18;31;26;36;1348,71115311281;1416,43877013305;1439,16229549755;1051,62913189122;1389,48320004507
"18";30;30028;"QP030010";"Escanaux - Coronelle - Citadelle - Vigan Braquet";49;1177,94786532556;9;5;15;7;13;1157,37542791313;1075,12820512821;1126,890845035;1286,88128390768;1230,40934029247
"19";30;30032;"QP030012";"La Moulinelle";29;972,031731107348;4;7;4;6;8;874,251933793157;1010,87888491954;966,666331510082;964,771564771565;995,058194729247
