"";"code_departement";"code_commune";"code_qp";"nom_qp";"id_mutation";"annee_mutation";"type_local";"nb_biens";"valeur_fonciere";"surface_reelle_bati";"surface_terrain";"nombre_pieces_principales";"longitude";"latitude";"prix_m2"
"1";9;9122;"QP009002";"Centre Ancien";"2016-78710";2016;"Appartement";1;57500;65;0;3;1,6047;42,9646;884,615384615385
"2";9;9122;"QP009002";"Centre Ancien";"2016-78841";2016;"Appartement";1;46000;22;38;2;1,6053;42,9648;2090,90909090909
"3";9;9122;"QP009002";"Centre Ancien";"2016-78929";2016;"Appartement";3;77000;59;37;3;1,61;42,9658;1305,08474576271
"4";9;9122;"QP009002";"Centre Ancien";"2016-79028";2016;"Appartement";1;84000;80;0;2;1,6089;42,966;1050
"5";9;9122;"QP009002";"Centre Ancien";"2016-79051";2016;"Appartement";1;212000;81;0;4;1,6072;42,9647;2617,28395061728
"6";9;9122;"QP009002";"Centre Ancien";"2016-79178";2016;"Maison";1;33000;80;58;3;1,6084;42,9651;412,5
"7";9;9122;"QP009002";"Centre Ancien";"2016-79627";2016;"Maison";1;77000;100;40;4;1,6085;42,9659;770
"8";9;9122;"QP009002";"Centre Ancien";"2016-79678";2016;"Maison";1;46500;69;23;2;1,6048;42,964;673,913043478261
"9";9;9122;"QP009002";"Centre Ancien";"2016-79782";2016;"Appartement";1;58000;75;0;3;1,6066;42,966;773,333333333333
"10";9;9122;"QP009002";"Centre Ancien";"2016-79820";2016;"Maison";1;57500;65;33;3;1,6085;42,9681;884,615384615385
"11";9;9122;"QP009002";"Centre Ancien";"2016-79965";2016;"Maison";1;88750;100;41;3;1,6062;42,9664;887,5
"12";9;9122;"QP009002";"Centre Ancien";"2016-80040";2016;"Appartement";2;37000;44;23;2;1,6089;42,9651;840,909090909091
"13";9;9122;"QP009002";"Centre Ancien";"2016-80588";2016;"Maison";1;6500;50;30;2;1,6088;42,9647;130
"14";9;9122;"QP009002";"Centre Ancien";"2016-80750";2016;"Maison";1;160000;158;97;7;1,6056;42,9658;1012,6582278481
"15";9;9122;"QP009002";"Centre Ancien";"2016-80979";2016;"Maison";1;63000;75;44;2;1,6056;42,9651;840
"16";9;9122;"QP009002";"Centre Ancien";"2016-80991";2016;"Maison";1;46000;60;55;4;1,6072;42,9665;766,666666666667
"17";9;9122;"QP009002";"Centre Ancien";"2016-81069";2016;"Appartement";1;38000;59;0;2;1,6073;42,9656;644,067796610169
"18";9;9122;"QP009002";"Centre Ancien";"2016-81072";2016;"Maison";1;24000;67;40;2;1,6077;42,9661;358,208955223881
"19";9;9122;"QP009002";"Centre Ancien";"2016-81354";2016;"Maison";1;45000;33;23;2;1,6058;42,9668;1363,63636363636
"20";9;9122;"QP009002";"Centre Ancien";"2016-81359";2016;"Appartement";2;95000;81;0;4;1,6045;42,9646;1172,83950617284
"21";9;9122;"QP009002";"Centre Ancien";"2016-81362";2016;"Appartement";1;60000;71;0;3;1,6045;42,9646;845,070422535211
"22";9;9122;"QP009002";"Centre Ancien";"2016-81859";2016;"Appartement";2;70000;98;292;5;1,6081;42,9678;714,285714285714
"23";9;9122;"QP009002";"Centre Ancien";"2016-82122";2016;"Appartement";2;50000;99;0;4;1,6083;42,9648;505,050505050505
"24";9;9122;"QP009002";"Centre Ancien";"2016-82213";2016;"Appartement";1;194000;114;0;3;1,6082;42,9655;1701,75438596491
"25";9;9122;"QP009002";"Centre Ancien";"2016-82238";2016;"Appartement";3;229166;188;0;8;1,6072;42,9647;1218,96808510638
"26";9;9122;"QP009002";"Centre Ancien";"2016-82349";2016;"Appartement";1;33000;38;0;2;1,6069;42,9658;868,421052631579
"27";9;9122;"QP009002";"Centre Ancien";"2016-82385";2016;"Appartement";1;50500;57;0;2;1,6066;42,966;885,964912280702
"28";9;9122;"QP009002";"Centre Ancien";"2016-82639";2016;"Appartement";1;165000;75;0;3;1,6072;42,9647;2200
